"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
0,0,0,0,28,5,6,1,1,4,9,4,0,1,1,2
1,1,0,0,21,2,6,1,1,5,10,1,1,6,0,2
0,1,0,0,33,5,6,1,2,5,7,4,0,1,1,3
1,0,0,0,33,3,1,0,2,4,6,3,0,1,1,2
1,0,1,0,20,2,6,1,1,1,5,6,0,6,0,2
1,0,1,0,32,4,6,1,4,4,9,1,1,1,1,1
1,0,0,0,50,3,6,1,3,4,10,3,0,1,1,1
0,1,0,0,19,10,6,1,1,6,8,8,0,6,0,3
0,1,0,1,22,3,6,1,2,4,5,3,0,6,0,2
1,1,1,0,40,4,1,0,2,4,7,2,0,1,1,1
0,1,0,0,31,9,6,1,1,3,10,1,1,1,1,1
1,1,1,0,46,2,7,0,1,0,10,2,0,1,1,2
1,1,0,0,36,2,6,1,1,4,9,3,0,6,0,4
1,1,1,0,34,3,6,1,1,4,10,1,1,6,0,1
1,1,0,0,29,5,6,1,1,4,7,5,0,6,0,1
1,1,0,0,60,5,6,1,3,4,5,1,1,1,1,3
0,1,0,0,29,6,6,1,1,5,9,4,0,6,0,1
1,1,0,0,39,3,1,0,1,3,10,2,0,6,0,1
1,1,0,0,35,2,6,1,1,5,5,3,0,6,0,1
0,1,0,0,35,2,6,1,2,1,9,1,1,1,1,3
0,1,0,0,39,10,6,1,1,8,8,1,1,1,1,1
1,0,0,1,24,4,6,1,3,4,3,1,1,1,1,4
0,1,0,1,20,7,5,0,2,2,4,7,0,1,1,1
1,1,0,0,28,4,6,1,2,4,10,2,0,6,0,2
1,0,1,0,37,2,6,1,1,2,3,3,0,1,1,3
1,1,1,1,31,2,6,1,2,0,8,1,1,1,1,1
0,1,0,0,28,3,6,1,1,4,4,1,1,1,1,4
0,1,0,0,30,2,6,1,1,3,10,1,1,1,1,1
0,1,0,0,37,8,6,1,1,6,7,8,0,1,1,3
0,0,0,0,21,3,7,0,2,4,5,3,0,1,1,1
1,1,1,0,38,3,6,1,1,4,5,1,1,1,1,1
0,1,0,0,37,10,6,1,1,5,10,8,0,1,1,1
1,1,0,0,40,4,6,1,1,5,8,1,1,1,1,3
0,1,0,0,19,3,1,0,1,4,6,6,0,6,0,2
0,1,0,1,25,2,6,1,3,1,1,5,0,1,1,2
1,0,0,0,42,10,6,1,3,7,8,6,0,1,1,4
0,1,0,0,37,3,1,0,2,4,8,3,0,1,1,2
1,1,0,0,46,5,6,1,4,4,2,6,0,1,1,2
1,1,0,1,31,3,6,1,1,4,5,3,0,6,0,3
1,1,1,0,42,1,6,1,1,1,9,3,0,1,1,4
1,1,1,0,27,5,6,1,4,4,8,1,1,6,0,1
1,1,1,0,28,3,6,1,1,4,5,1,1,1,1,2
0,1,0,0,40,4,6,1,1,4,8,6,0,3,0,4
0,1,0,0,18,2,1,0,1,3,1,6,0,6,0,3
1,1,0,0,25,4,6,1,1,4,7,1,1,6,0,4
1,1,0,1,46,7,6,1,1,5,10,7,0,1,1,1
1,1,0,1,40,8,6,1,1,7,8,1,1,1,1,2
0,1,0,1,35,8,6,1,1,6,8,8,0,1,1,2
0,1,0,0,33,9,6,1,1,8,9,6,0,6,0,1
1,0,0,1,46,6,6,1,2,4,6,3,0,1,1,2
0,1,0,0,37,10,6,1,2,8,7,3,0,1,1,2
0,1,0,0,23,4,6,1,1,4,10,2,0,6,0,2
1,1,0,0,29,7,6,1,1,4,9,3,0,1,1,4
0,0,0,0,24,5,6,1,3,4,6,3,0,6,0,4
0,1,0,0,25,9,6,1,2,4,7,3,0,6,0,4
0,0,0,0,27,1,6,1,2,2,1,3,0,1,1,1
1,1,1,0,31,4,6,1,1,5,5,2,0,6,0,1
1,0,1,0,41,3,1,0,1,4,3,1,1,1,1,2
0,0,0,0,20,4,6,1,4,5,2,7,0,6,0,2
1,0,0,0,32,3,6,1,1,5,6,1,1,1,1,1
1,0,0,1,52,10,5,0,1,7,8,8,0,1,1,2
1,0,0,1,40,4,6,1,1,4,10,5,0,1,1,1
1,0,0,0,45,3,5,0,1,4,2,1,1,1,1,1
1,1,0,0,22,5,6,1,1,5,4,4,0,6,0,2
0,0,0,0,19,1,6,1,2,4,6,6,0,6,0,4
1,0,0,0,35,3,6,1,2,5,9,2,0,6,0,2
0,1,0,1,44,5,5,0,1,5,9,4,0,1,1,1
0,0,0,0,40,4,6,1,1,4,8,3,0,1,1,1
0,1,0,1,55,3,6,1,1,4,10,3,0,6,0,1
0,1,0,1,21,4,6,1,1,4,10,2,0,6,0,1
0,1,0,1,21,2,6,1,1,1,4,1,1,6,0,2
0,0,0,1,18,10,6,1,1,7,5,7,0,6,0,1
0,1,0,1,40,5,6,1,2,5,4,1,1,1,1,2
1,0,1,1,33,2,6,1,1,4,5,3,0,1,1,1
0,0,0,1,19,2,7,0,1,4,8,6,0,6,0,3
1,1,0,1,31,10,6,1,3,6,5,5,0,1,1,2
0,0,0,1,29,4,6,1,3,5,5,2,0,1,1,1
0,0,0,0,53,4,6,1,1,4,10,3,0,1,1,1
0,1,0,1,19,1,6,1,3,2,5,4,0,2,0,1
0,1,0,0,40,4,6,1,1,4,10,3,0,6,0,1
1,0,0,1,40,3,6,1,1,3,5,1,1,1,1,1
0,0,0,1,41,2,9,0,1,4,1,3,0,1,1,2
0,0,0,1,42,2,6,1,4,4,10,5,0,1,1,3
1,1,0,1,41,5,6,1,1,4,8,2,0,1,1,1
0,1,0,1,34,3,6,1,1,5,1,5,0,1,1,1
0,0,0,0,20,6,6,1,1,4,8,6,0,6,0,3
1,1,0,1,29,3,6,1,1,4,8,1,1,1,1,1
0,1,0,1,43,1,6,1,1,0,5,2,0,1,1,3
0,0,0,0,18,6,6,1,1,5,2,5,0,6,0,2
0,1,0,0,18,5,6,1,1,3,10,6,0,6,0,2
0,1,0,1,50,4,6,1,1,4,10,3,0,1,1,1
0,0,0,0,35,4,6,1,1,4,10,3,0,6,0,3
1,0,0,1,21,2,6,1,3,5,5,6,0,6,0,2
1,0,0,1,51,2,6,1,3,1,1,2,0,1,1,1
1,1,0,1,24,6,5,0,1,5,5,1,1,6,0,1
1,0,0,0,38,8,6,1,3,6,5,4,0,1,1,2
0,1,0,1,35,7,6,1,2,4,5,4,0,1,1,1
0,1,0,1,45,3,6,1,3,3,8,2,0,1,1,2
1,1,1,0,36,5,6,1,1,4,8,1,1,1,1,2
0,1,0,0,45,2,5,0,1,1,7,1,1,1,1,2
0,1,0,0,39,5,6,1,1,4,10,3,0,1,1,1
1,0,1,0,47,6,6,1,1,4,6,4,0,1,1,1
0,0,0,0,36,4,6,1,1,4,10,3,0,6,0,1
1,1,0,1,23,7,1,0,1,4,5,3,0,6,0,3
1,1,1,0,18,7,6,1,1,7,10,6,0,6,0,2
0,1,0,1,24,3,6,1,1,4,10,3,0,6,0,1
0,1,0,1,25,4,5,0,3,4,5,2,0,6,0,1
1,1,1,0,61,2,6,1,3,4,10,3,0,1,1,3
0,1,0,0,50,3,6,1,1,4,5,1,1,6,0,2
1,1,0,0,52,4,6,1,1,5,10,5,0,1,1,2
1,1,0,0,22,4,6,1,1,4,10,5,0,6,0,1
0,1,0,0,18,6,6,1,4,3,10,2,0,6,0,1
0,0,0,0,57,9,6,1,1,4,10,8,0,1,1,1
1,1,1,1,25,2,6,1,1,3,6,3,0,1,1,2
1,0,1,0,40,2,6,1,2,2,5,1,1,6,0,1
0,0,0,0,41,9,6,1,3,7,3,3,0,1,1,1
1,1,0,0,18,2,6,1,2,4,7,6,0,6,0,1
1,0,0,0,21,10,6,1,3,8,6,7,0,6,0,1
0,1,0,0,49,2,6,1,2,0,10,1,1,3,0,1
1,0,0,1,48,2,1,0,1,4,6,3,0,6,0,2
0,1,0,1,42,3,6,1,3,4,10,2,0,1,1,1
1,0,0,0,52,9,6,1,1,6,10,7,0,1,1,1
0,1,0,0,51,5,6,1,3,4,1,3,0,1,1,1
0,1,0,0,38,4,6,1,1,5,10,2,0,1,1,1
0,1,0,1,34,10,6,1,3,7,10,8,0,1,1,1
1,0,0,1,31,5,6,1,1,4,5,1,1,3,0,1
1,0,0,0,20,3,1,0,3,3,6,6,0,6,0,2
1,0,0,0,22,2,6,1,1,1,9,3,0,6,0,4
0,1,0,1,22,2,6,1,1,4,6,1,1,6,0,2
0,0,0,0,35,2,1,0,1,4,5,2,0,6,0,1
0,1,0,1,18,7,6,1,2,6,8,6,0,6,0,3
0,0,0,1,65,3,6,1,1,4,8,5,0,1,1,1
1,0,0,0,59,5,6,1,2,4,5,1,1,1,1,4
1,0,0,0,36,5,6,1,1,5,7,3,0,1,1,1
0,1,0,1,22,1,6,1,4,0,3,1,1,6,0,3
1,1,0,0,20,4,6,1,1,4,10,2,0,6,0,1
1,1,0,1,19,2,6,1,1,4,8,1,1,6,0,1
0,1,0,1,22,4,6,1,2,4,7,6,0,6,0,1
0,1,0,1,26,2,6,1,1,2,9,3,0,6,0,1
0,0,0,1,36,3,6,1,1,4,7,2,0,1,1,2
1,0,0,1,27,8,9,0,1,7,10,5,0,6,0,4
0,1,0,1,36,3,6,1,3,5,8,5,0,1,1,1
1,0,0,1,50,5,6,1,1,4,5,4,0,1,1,3
1,0,0,1,22,1,1,0,1,1,3,3,0,6,0,3
0,1,0,1,28,5,6,1,1,4,10,1,1,1,1,3
0,0,0,1,25,3,6,1,1,4,7,2,0,1,1,1
0,1,0,0,56,6,6,1,3,3,10,3,0,1,1,1
0,0,0,1,43,4,6,1,2,4,9,3,0,1,1,1
0,0,0,1,36,2,6,1,2,3,5,5,0,1,1,1
1,0,1,1,25,3,1,0,4,5,3,6,0,6,0,3
1,1,1,0,48,2,6,1,1,4,10,3,0,1,1,2
0,1,0,1,41,7,6,1,1,4,10,1,1,1,1,1
0,1,0,1,23,2,6,1,1,0,6,1,1,6,0,1
0,1,0,1,27,2,6,1,3,1,5,2,0,1,1,3
0,0,0,0,56,4,6,1,2,4,4,1,1,1,1,1
0,1,0,1,40,2,6,1,1,4,8,2,0,1,1,2
1,1,0,0,45,2,6,1,1,4,10,1,1,1,1,1
0,0,0,0,49,4,1,0,1,3,10,7,0,6,0,4
1,1,0,1,25,4,6,1,1,4,6,1,1,6,0,1
1,1,0,1,25,3,6,1,2,4,6,1,1,6,0,1
0,0,0,1,22,2,7,0,1,4,6,7,0,6,0,3
1,1,0,1,29,6,6,1,1,4,9,5,0,1,1,1
0,1,0,1,21,2,6,1,3,4,2,6,0,6,0,3
0,0,0,1,32,3,6,1,3,4,6,1,1,1,1,2
1,1,0,1,21,2,7,0,3,1,8,1,1,6,0,4
0,1,0,0,48,3,6,1,4,4,5,3,0,1,1,1
1,1,0,0,63,5,6,1,1,4,8,3,0,6,0,4
1,1,0,1,23,2,6,1,1,1,4,2,0,1,1,1
1,0,0,1,30,4,6,1,1,5,10,1,1,1,1,3
0,0,0,1,36,3,6,1,1,4,10,1,1,1,1,1
0,1,0,1,25,3,6,1,2,4,6,2,0,1,1,2
1,1,0,1,34,2,6,1,3,0,10,1,1,1,1,1
0,1,0,1,27,9,6,1,1,6,7,8,0,1,1,3
1,0,0,1,34,2,6,1,2,5,6,5,0,1,1,1
1,1,0,1,20,3,6,1,1,5,10,3,0,6,0,2
0,1,0,1,19,2,5,0,1,3,6,6,0,6,0,3
1,1,0,1,36,5,6,1,2,4,1,1,1,1,1,1
0,1,0,0,51,5,6,1,3,4,10,1,1,1,1,1
0,0,0,0,48,9,6,1,3,7,6,6,0,1,1,2
1,1,0,1,21,3,6,1,1,4,7,6,0,6,0,1
0,0,0,0,50,3,6,1,4,4,6,1,1,1,1,2
0,1,0,1,33,4,1,0,3,4,7,2,0,1,1,2
0,0,0,1,24,3,6,1,3,4,7,6,0,6,0,3
1,1,0,1,42,4,6,1,1,5,5,3,0,1,1,1
0,1,0,0,48,4,6,1,1,4,9,1,1,1,1,1
1,1,0,1,23,3,6,1,1,4,6,5,0,1,1,1
1,1,1,0,45,9,6,1,1,8,9,6,0,1,1,5
1,1,1,1,20,9,6,1,2,7,8,6,0,6,0,1
0,1,0,0,48,6,6,1,1,4,6,1,1,1,1,1
1,0,1,1,42,5,6,1,1,4,7,3,0,1,1,1
1,0,1,1,37,2,1,0,4,5,8,3,0,1,1,4
1,0,1,1,40,4,1,0,1,4,8,5,0,6,0,2
0,0,0,1,19,2,6,1,1,1,5,3,0,6,0,3
1,0,1,0,48,2,6,1,1,1,8,2,0,6,0,3
1,1,1,1,24,2,6,1,3,4,5,6,0,6,0,2
1,0,1,1,22,3,6,1,2,4,5,2,0,6,0,1
0,1,0,1,19,1,6,1,3,0,6,3,0,6,0,4
0,1,0,1,19,9,6,1,1,6,7,3,0,6,0,1
1,0,1,1,44,2,6,1,3,3,10,5,0,1,1,3
0,1,0,1,23,3,5,0,1,5,5,3,0,6,0,1
1,1,0,1,18,3,5,0,4,4,10,6,0,6,0,2
1,1,0,1,23,3,6,1,2,4,4,2,0,6,0,3
1,1,0,1,24,2,6,1,2,2,10,3,0,6,0,1
1,0,0,1,19,8,6,1,1,3,5,8,0,6,0,1
1,0,0,1,18,3,6,1,3,4,5,6,0,6,0,4
1,1,0,1,43,7,6,1,1,6,7,7,0,1,1,1
0,0,0,0,54,2,6,1,1,4,10,3,0,1,1,4
0,1,0,1,40,2,1,0,1,4,6,3,0,1,1,2
0,1,0,1,42,3,6,1,1,3,8,7,0,1,1,3
1,1,0,1,45,3,6,1,2,2,6,7,0,6,0,3
0,0,0,1,36,5,6,1,2,4,5,1,1,6,0,1
1,0,0,1,50,3,6,1,1,4,7,5,0,1,1,1
0,0,0,0,18,2,5,0,1,3,5,6,0,6,0,2
0,0,0,0,19,5,9,0,1,4,6,6,0,6,0,4
1,1,0,0,20,2,5,0,2,3,7,6,0,6,0,3
0,0,0,0,24,3,6,1,1,5,8,4,0,6,0,2
1,0,0,0,32,2,6,1,1,3,10,5,0,6,0,1
0,1,0,0,26,3,6,1,4,5,7,3,0,1,1,2
0,1,0,0,30,6,6,1,1,5,10,1,1,6,0,1
1,0,0,0,29,4,6,1,1,4,6,2,0,6,0,1
0,0,0,1,46,3,1,0,2,4,6,2,0,1,1,4
1,1,0,0,44,7,7,0,2,6,10,3,0,5,0,1
1,1,0,0,26,2,6,1,1,3,4,6,0,1,1,1
0,0,0,0,31,2,6,1,2,4,5,2,0,6,0,1
1,1,0,0,29,2,6,1,4,3,5,1,1,1,1,1
1,1,0,0,30,5,6,1,1,5,10,3,0,1,1,1
1,1,0,0,41,4,6,1,1,5,9,1,1,1,1,1
0,1,0,0,28,4,6,1,1,3,7,2,0,1,1,1
1,0,0,0,55,5,6,1,3,2,6,1,1,1,1,1
0,1,0,0,26,2,9,0,3,2,7,3,0,1,1,2
0,1,0,0,27,9,2,0,1,4,8,3,0,6,0,1
1,1,0,0,49,2,6,1,1,5,10,3,0,1,1,1
1,0,0,1,47,2,1,0,2,4,5,7,0,2,0,1
0,1,0,0,31,2,6,1,4,2,9,5,0,6,0,3
0,1,0,1,49,3,6,1,1,5,8,1,1,1,1,2
0,0,0,0,45,2,6,1,3,4,9,1,1,1,1,3
1,0,1,1,55,3,6,1,2,4,2,5,0,3,0,3
1,0,0,0,50,1,6,1,1,5,2,7,0,1,1,1
1,1,1,0,48,1,6,1,1,2,10,3,0,1,1,3
1,1,0,0,50,3,6,1,2,4,5,3,0,1,1,4
0,0,0,0,47,8,1,0,1,6,1,5,0,1,1,3
0,0,0,0,49,6,6,1,3,4,5,1,1,1,1,2
0,1,0,0,45,3,6,1,1,3,7,3,0,1,1,3
1,1,0,1,46,10,1,0,2,5,5,7,0,1,1,2
0,1,0,0,46,3,6,1,1,3,4,3,0,2,0,2
1,1,0,0,45,3,6,1,1,4,10,3,0,1,1,1
0,1,0,0,49,5,6,1,1,4,6,3,0,1,1,1
1,0,0,0,45,2,6,1,3,3,6,2,0,1,1,1
0,1,0,0,48,7,6,1,3,5,9,3,0,1,1,1
0,0,0,0,48,3,6,1,3,5,5,3,0,1,1,1
0,0,0,1,56,4,9,0,1,4,5,5,0,1,1,3
0,1,0,1,45,4,6,1,3,5,9,1,1,1,1,1
0,1,0,1,61,2,5,0,2,5,9,5,0,5,0,3
0,0,0,1,56,2,6,1,3,4,5,2,0,6,0,2
1,1,0,1,45,5,6,1,2,4,8,3,0,1,1,2
1,1,0,1,52,4,6,1,4,4,10,1,1,1,1,1
0,1,0,1,46,4,6,1,2,4,4,5,0,1,1,1
1,1,0,1,46,4,6,1,1,2,6,2,0,1,1,2
0,0,0,1,65,4,6,1,1,5,6,4,0,1,1,2
0,0,0,1,54,10,6,1,2,8,6,5,0,1,1,1
1,0,1,1,51,4,6,1,1,4,8,5,0,1,1,4
